hotel,review,title,rating,date,month,year
Sarova Mara Game Camp,stay christmas break wife parent love location place park spread lunch breakfast dinner amaze however could eat items cater multiple cuisines events plan even also great pleaseant freindly staff always helpful,relax pleasant,5.0,2017-11-01,11,2017
Sarova Mara Game Camp,book sarova group three nights week volunteer outside mara triangle fourth time bring group kenya first time use sarovaas excursion camp standard tent standard accommodations compare camp ive use nice locations tent good bed comfortable en suite bathrooms super nice clean plenty amenities hot water would highly recommend public areas nice things like even fire bar area welcome cozy way end day morning coffee station set early enough partake morning safaris great way start day safari vehicles drivers leave,good good,4.0,2018-03-01,3,2018
Sarova Mara Game Camp,sarova mara still best place mara lodge continue deliver 2004 first stay highly quality warmth friendliness home mara seventh stay tent wonderful garden welcome restaurant great lot choices everyone even gluten free bread one party sarova mara long tradition well fulfil management believe send warm deep thank martin andrew time us christina front desk rest staff sarova mara,sarova mara,5.0,2018-03-01,3,2018
Sarova Mara Game Camp,great pleasure spend 2 nts 3 days sarova mara game camp please everything staff many local maasai truly warm accommodate everyone knowledgable surround go several game drive day accommodate capable knowledgable guide game drive seem end meal time make time around table doubly enjoyable food good wide variety choices tent accommodations hardly one would expect think tent hardwood floor queensize bed fulltiled bathrooms thing canvas 4 outside wall housekeep excellent job day,fantastic visit,5.0,2018-03-01,3,2018
Sarova Mara Game Camp,call leave masai mara stay awful rhino tourist camp beautiful staff friendly location great pop cup tea wish stay bar area immaculate great look pool,lovely place,5.0,2018-03-01,3,2018
Sarova Stanley,stay 2 nights safari tour end lovely boutique feel hotel check sarah friendly welcome stay deluxe room clean comfortable bday day lovely surprise staff acknowledge upon checkin also decorate bed rise petal bday message later lovely lady name dianna buy cake room make feel special walk nearby masai market great place load local african handmade goodies cheap prepare bargain hassle book city tour via jennifer hotel recommendation next day pay 70 usd expensive disappoint much see city driver drive around keep,lovely hotel,4.0,2018-06-01,6,2018
Sarova Stanley,hotel offer best accommodation facilities best affordable ratesthe location hotel good since situate within central business districtthe hotel far international airport hotel also offer 24 hours service,good reception hotel wellcoming hotel staff,5.0,2018-03-01,3,2018
Sarova Stanley,sarova stanley thorn tree restaurant find charm young lady name elizabeth welcome smile amazingmary birthday party thing take us always go businesselizabeth one best waitress thorn tree restaurant warm kind generous word service top simply best marys birthday elizabeth go extra mile call colleagues surprise sing marys birthdayit fun awesome make night surprise birthday celebration elizabeth girl plan take short time elizabeth recommend client service moon back keep,birthday party,5.0,2018-06-01,6,2018
Sarova Stanley,could give place 10 star would absolute perfection would expect top hotel love traditional decor give old world feel remind fairmont hotel san francisco lot history hotel one oldest city take historical walk one staff members walk hotel explain many different things replica gramophone denis hatch give karen blixen bar area stay club level could access club room room beautiful every amenity could imagine club room large want could use one boardrooms meet serve,fantastic service beautiful hotel must,5.0,2018-06-01,6,2018
Sarova Stanley,whole stay great staff wonderful especially duncan reception concierge young man clean room seventh floor sorry name escape breakfast good plentiful large choice special swahili breakfast serve one morning pleasant change chance try things negative point bathroom main room big bathroom tiny date shower head look like come municipal swim pool take age get water run hot know historic hotel better shower head etc would spoil anything,wonderful service,4.0,2018-06-01,6,2018
Sarova Whitesands Beach Resort & Spa,spend week enjoy family holiday room good condition equipment work well resort keep clean tidy din breakfast great quite good variety foods although little busy try accommodate us much could even arrange surprise birthday party wife right front beach special meal cook chef cake everything arrange us service excellent several pool give us little privacy kid always find quiet pool pool bar great,excellent always perfect families,5.0,2018-03-01,3,2018
Sarova Whitesands Beach Resort & Spa,stay hotel time 11 adults group arrive monday 11th feb 19 meet warm welcome staff entrance hotel security tight bag get scan xray machine get frisk security staff make way reception check go smoothly smile staff welcome cold refresh drink inform dine timesbasically guy spend good quality time explain resort make way room 1054 sea face room room spacious clean well present also safe cupboard iron iron board mineral also place room bathroom tv flat screen ample channel choose,great hotel,4.0,2019-02-01,2,2019
Sarova Whitesands Beach Resort & Spa,ambience restaurant amaze youre welcome smile host wide selection buffet mouth water delicious foodnice band enjoy lunch whole experience amaze,sunday brunch,4.0,2019-02-01,2,2019
Sarova Whitesands Beach Resort & Spa,staff wonderful room nice complaint nonworking fridge somewhat inadequate ac grind nice well keep pool incredible buffet morning even fantastic food superb careful leave balcony monkey get things,enjoy stay,5.0,2019-01-01,1,2019
Sarova Whitesands Beach Resort & Spa,check show room hour afterwards build start drill bang without let complain offer room change know noise unacceptable still take book money totally unacceptable resort management know better complete disgrace ruin good holiday,build site,1.0,2019-02-01,2,2019
Sarova Lion Hill Game Lodge,stay 1 night safari tour nice dinner great african dancer show lot dancer dance around make guests happy leave early morning much time appreciate hotel good food nice staff,great african show hotel,4.0,2018-06-01,6,2018
Sarova Lion Hill Game Lodge,stay one night calm peaceful excellent food beautiful restaurant safe secure 24hrs good room neat clean room lake view pls note visit bird flamingoes lake nakuru due high tide bad luck bird watchers pls check prior book excellent property stay,calm serene stay shore lake nakuru,4.0,2018-06-01,6,2018
Sarova Lion Hill Game Lodge,room good offer spectacular view lake place peaceful good service saw great animals include white rhino plenty flamingos endanger rothchild giraffe buffet offer good spread asian western dish equally tasty local dance performance hold every even nice overall good experience certainly recommend place family vacation,lake nakuru good room food,5.0,2018-06-01,6,2018
Sarova Lion Hill Game Lodge,fabulous lodge friendly environment staff take good care guests tuck game park beautiful view lake nakuru chefs great job go way prepare special meals,inlaws anniversary,4.0,2018-06-01,6,2018
Sarova Lion Hill Game Lodge,amaze timefriendly care staff clean warm room take consideration cold food fresh delicious kid friendly place everything take consideration,weekend gateaway,5.0,2018-07-01,7,2018
Sarova Mara Game Camp,great two night stay sarova mara last top nine day safari best hotel stay entire time kenya camp use loosest sense word room tent roof however wooden floor new furniture attach bathrooms shower run water definitely glamping camp mealtime favorite station different cuisines freshly make pastas soup indian food dessert really excellent food definitely take advantage buffet well take care martin joseph note wifi shut 46 pm afternoon game drive happen however tea service reception area bar open,wonderful camp experience mara,5.0,2018-03-01,3,2018
Sarova Mara Game Camp,go sarova mara game camp team four nights team passionate warm zealous job reception chefs room attendants tasty food ambience entertainment maasai morans worth go back many thank arafa kenji smooth book duncan mwangi general manager forget man make stay enjoyable nickson knyckson shall surely visit,home unparalleled hospitality,5.0,2018-03-01,3,2018
Sarova Mara Game Camp,go short 2 nights 3 day trip include morning game full day game even game one word awesome lodge call beautiful tent good size nest nature lodge small swim pool though use even get learn masai community dance ppt bar well stock super fireplace food great good choice indian vegetarian food one cannot expect visit campus vegetable garden greet give tour garden also daisy live food counter ever smile help remember exact choice season soup excellent trip elaborate wild life,simply awesome,5.0,2018-03-01,3,2018
Sarova Mara Game Camp,stay safari masai mara impress everything room large comfortable food top notch service entire time lodge fantastic much much expect book safari,fantastic property lodge,5.0,2018-02-01,2,2018
Sarova Mara Game Camp,sarova meet expectations highly recommend place solo couple families travel group stay twin share room double shower washroom modern functional best hot shower ever househost solomon go beyond attend room night bed fold freshen net around bed supply wipe cream one need stay maasai game camp close entrance maasai saw animals soon upon entry like kenya wifi free super powerful original sarova serve organic vegetables fruit herbs kitchen guest grow site take stroll onsite organic garden,tremendous expect,5.0,2018-03-01,3,2018
Sarova Lion Hill Game Lodge,husband wonderful time lodge make book main office sarova desk use zawadi point love attentive guest service arrival day call us ask far since get park 500pm allow time move national park call ahead alert kws wardens would late sad forget name guy call us would like give thumb arrival well recieved customer service top notch africans kenyan origin sometimes dont get top notch service hotels resort lodge visit resort treat guest decorum,wonderful,5.0,2018-04-01,4,2018
Sarova Stanley,enjoy two day stay stanley staff warm welcome room comfortable hotel open 1902 interest history glad share stay room classification give us access lounge top floor recommend staff lounge truly go way watch breakfast good din one even thai restaurant nice meal hotel locate right busy center downtown nairobi perhaps three block convention center,excellent old colonial era hotel,5.0,2018-06-01,6,2018
Sarova Lion Hill Game Lodge,hotel good staff super friendly room may need little update still enough us clean hot water enought us see lake nakuru room food good swim pool decoration manager saw son disappoint even start arrange place hotel could swim good service definitely ever come back come,spend one night family,4.0,2018-06-01,6,2018
Sarova Lion Hill Game Lodge,staff excellent go extra mile help room clean shower hot hot water bottle bed bedtime bonus food excellent fav hotel nakuru national park couple things worth mention disappoint discover longer serve hot wonderful flannels arrival surprise receive wet wipe plastic wrap environmentally friendly good idea sarova approve also swim pool use august 2018no one tell us find arrival daughter sad finally although room lovely wall paper thin could hear couple next door shame,good getaway,3.0,2018-06-01,6,2018
Sarova Lion Hill Game Lodge,stay night enjoy stop nice staff like everywhere experience kenya look every detail include hot water bottle put sheet whilst turn hotel best shower far small detail youre grateful long day amaze collection white rhino baby lucky enough see black rhino nice see rothschild giraffe white sock good see flamingo far less number expect definite winner,comfortable stay superb safari around lake nakuru,4.0,2018-06-01,6,2018
Sarova Lion Hill Game Lodge,excellent resort inside lake nakuru national park report offer high quality room good food affordable rat indian travelers lot bird resort good polite staff trip lake 10 mins en route lake spot animals except rhinos,mesmerize location,5.0,2018-05-01,5,2018
Sarova Stanley,hotel steep history excellent location superb staff honest style decor tad oldfashioned dont let deter really enjoy stay staff fantastic many mention name couldnt welcome recommend friday breakfast swahili banquet try coffee real kickstart day,city centre nairobi,4.0,2018-06-01,6,2018
Sarova Stanley,absolutely wonderful hotel amaze staff service dinner famous thai restaurant thai chi receive complimentary head shoulder massage wait meal breakfast thorn tree cafe delightful day show breakfast receive call front desk inquire wellbeing notice absent breakfast ill stay,old charm history,5.0,2017-08-01,8,2017
Sarova Stanley,old fashion hotel everything shiny clean comfortablerooms bigquiet night bite noisy day want siestathe food downstairs good breakfast dinnerwith good choice dish upstairs pool buffet goodbut service excellentvery friendly good sense humour one day go back kenya go back hotelthanks staff good service,old fashion,4.0,2018-06-01,6,2018
Sarova Stanley,absolutely wonderful hotel stay terrific many things say know quite start first arrival stanley meet doormen security know safety hotels priority enter stanley meet remnants old hotel 1902 clock registration area old original staircase room well furnish clean importantly air condition surprise please staff friendliness especially matthew take time explain history stanley point many feature instance 1st floor find exchange bar name original site kenya stock exchange clock,outstanding hotel lot lot history,5.0,2018-05-01,5,2018
Sarova Whitesands Beach Resort & Spa,whitesands beautiful property staff let anything front office staff reservations team must rudest bunch ever encounter collins consolata take train surprisingly rest team kind polite eg clean staff bell boys security guard promote whitesands serene food great lot variety room great clean well stay sea face room view magnificent sign old age andor neglect perhaps new management take keen look,better customer service require,4.0,2019-01-01,1,2019
Sarova Whitesands Beach Resort & Spa,moment walk whitesands greet smile level hospitality find elsewhere hotel impeccably landscape palm tree lawns koi fill ponds epitomise would expect beachside resort special mention paras team extend staff animation team gym trainer waiters housekeep staff room newly renovate would highly recommend ocean face room room otherwise spacious icecold air condition amenities require well lay small things like nightly turn service jambos staff walk pass make place legendary buffet pavillions,5 star kenyan hospitality,5.0,2019-01-01,1,2019
Sarova Whitesands Beach Resort & Spa,things note good room clean good facilities coffee makingiron tv safe however sign old ageneglect appear old room telephone work intermittently blow bulbs paint peel ac could barely get room 24 degrees celsius maintainence look fridge would cool drink fact leak water make two call correct yet never eventually give get fix din area great however one thing always every morning breakfast run behind waiters get cup teacoffee rarely come ask want find leave cup near coffeetea,highs low,4.0,2019-01-01,1,2019
Sarova Whitesands Beach Resort & Spa,hotel beautiful enjoy stay decemberour disappointment din area guests suppose wait seat area didnt operate well guests walk sit free table look empty go get food find couple sit table move another table shock already take guests also like us food hand couple sit table give claim sit since start holiday hence walk like guests like us like order like avoid scenarios promise din area shock especially busy months waiters friendly,disappoint,3.0,2018-12-01,12,2018
Sarova Whitesands Beach Resort & Spa,third time staff helpful friendly ever feel like come home get great welcome service ill hate leave book next visit different hotel room really good convenient clean pool garden beautiful change seem silly lie bed fancy nice drink beer fanta coke etc pay open fridge front gut get dress make way one bar get exactly drink ai whats point apart make stay little inconvenient think id pay luxurynext lido swim bar restaurant dont stock inc drink find waiter get cocos bar,change confusion dissatisfaction,3.0,2019-01-01,1,2019
Sarova Panafric,welcome greet prompt child friendly menu suggestions glad choose today situate 5min walk central uhuru parkthis iconic hotel part famous award win sarova group hotels modestaour waitress expedient attentive upgrade efforts cover upstairs terrace little noisy thats price necessary permanent cover enhance space tolerable enclose green area adjacent terrace welcome respite hyper active 5year old wonder get shall surely back famous sunday brunch,restaurant terrace geeat branch spot,4.0,2018-11-01,11,2018
Sarova Panafric,hotel couple time personally complain highly recommend anyone look enjoyable pleasant stay visit nairobi service hospitality awesome food great security,fantastic,5.0,2018-11-01,11,2018
Sarova Panafric,visit hotelthe service owesome tell unit standards sameand seem management offer top train staffi advise guest visit hotel look excellent service felix like service,service,5.0,2018-11-01,11,2018
Sarova Panafric,hotel good central location security high priority staff incredibly friendly room large comfortable well equip restaurant great eat flame tree,comfortable enjoyable stay,4.0,2018-10-01,10,2018
Sarova Panafric,stay hotel several years ago unfortunate experience people enter room middle night mistake rather malicious intent scary nonetheless attend conference hotel think id give another try please report security hotel much improve card access lift bedroom areas plenty staff around reception staff extremely friendly helpful pass parcel conference help rearrange airport transfer airline bring forward check time even though book hotel breakfast good conference cater theres lot build work go outside,comfortable room secure hotel helpful staff,4.0,2018-11-01,11,2018
Sarova Mara Game Camp,stay exceed wildest dream club tent option amaze felt like pamper level royalty middle african plain floor bed furniture beautiful unsure tent camp would like boy surprise bathroom facilities beautiful hot shower felt great day rid dusty mara track animals turndown special net place around bed hot water bottle bed keep away chill surprisingly cool night meals bar offer good soup fresh salads safe worry contamination local african cuisine well prepare staff attentive call us name initial introduction,perfect safari experience,5.0,2018-01-01,1,2018
Sarova Mara Game Camp,stay four days brilliant time staff polite helpful cannot wait return later year thank look us would defiantly recommend stay great accommodation food excellent fantastic wildlife,amaze place,5.0,2018-02-01,2,2018
Sarova Mara Game Camp,place perfect welcome immediately check extremely easy staff friendly helpful definitely enhance visit make trip memorable nice return game drive wet nap ready us help us feel little bite freshen food definitely highlight visit also active like small track place barb wire safe go run around grind worry animal chase tent spacious beautiful hard even call tent,everything need,5.0,2018-02-01,2,2018
Sarova Mara Game Camp,amaze hotel stay 3 nights could stay longer room lovely lovingly tend private peaceful wake morning find beautiful creatures dik diks porch truly amaze good food friendly service everything spotlessly clean,perfect place stay visit masai mara reserve,5.0,2018-02-01,2,2018
Sarova Mara Game Camp,lot good food nice surround luxurious tent good base see animals actually risk meet already outside gate relax poolside also nice experience visit evaluate,nice experience,5.0,2018-02-01,2,2018
Sarova Panafric,hotel nice owsome placei like service offer staff felix standards across unitsamazing staff need place spend nice time family visit sarova panafricand look felix omondi,service,5.0,2018-11-01,11,2018
Sarova Panafric,stay 2 nights nov 2018 room would need refurbish pool renovation cannot assess however staff friendly helpful make feel home without invasive overall good stay,good hotel friendly staff,4.0,2018-11-01,11,2018
Sarova Panafric,hotel good choice overnight embark safari conveniently locate far airport area leafy nice meet friendly helpful people desk upon arrival although room quite appear photograph well fit amenities include comfortable bed good shower restaurant certainly recommend dinner delicious excellent breakfast buffet serve follow morning whole group enjoy stay able set safari feel refresh staff hotel restaurant attentive professional,good overnight stay,4.0,2018-09-01,9,2018
Sarova Panafric,sarova nice hotel food great staff name millicent also amaze make comfortable feel home therry reception also amaze know welcome guests area improvement bathroom need arabian shower wifi strength need upgrade little bite,mr mewael arefayne,4.0,2018-10-01,10,2018
Sarova Panafric,good hotel neat clean room service good good food options available pool well maintain locate safe good location luxurious serve purpose well,nice hotel quite area,5.0,2017-11-01,11,2017
Sarova Stanley,great location great accommodation staff friendly historical hotel date back even city nairobi queen elizabeth stay food definitely overprice hungry arrive eat buffet stun 3000 per person surround area business like make sure things outside nairobi much city,place stay nairobi,5.0,2017-11-01,11,2017
Sarova Stanley,enjoyable 4 night stay landmark hotel staff extremely friendly accommodation excellent great food look something nice downtown nairobi would recommend,nice hotel,5.0,2018-05-01,5,2018
Sarova Stanley,fantastic charm historical hotel well renovate maintain best friendly helpful staff thank make stay excellent really enjoy complimentary historical tour hotel also explain nairobis history,sarova stanley hotel nairobi,5.0,2018-05-01,5,2018
Sarova Stanley,love stay historic hotel charm ambiance eas delightful room great size well appoint staff amaze helpful friendly location central hope stay,leanne kellett australia,5.0,2018-05-01,5,2018
Sarova Stanley,si great hotel center town style one luxurious hotels inthe world last award year back slip back say hotel clean staff friendly efficient service standards high would say hotel business children holiday ideal look somewhere stay start end longer trip kenya also clear outside reservations hotel run phone email online book things online seem take effort expect spa concierge online problem say staff could handel request ask directly,great location cbd nairobi,4.0,2018-05-01,5,2018
Sarova Whitesands Beach Resort & Spa,one best hotels stay mombasa service international standards attendants well train handle visitors pretty well full board option one would recommend stay time vacation swim pool well maintain swim instructors disposal room modern would call little techy would definitely go back million time,think know mombasa visit sarova whitesands first,5.0,2018-08-01,8,2018
Sarova Whitesands Beach Resort & Spa,spend fantastic time end december family room well appoint amenities one think plenty water drink good quality toileteries wide variety food serve professional staff beautiful pool areas spa several activities keep whole family engage easy access beach water sport facilities hotel pricey evidently worth love watch staff congregate prepare meals keep,fabulous go place real beach holiday,5.0,2018-12-01,12,2018
Sarova Whitesands Beach Resort & Spa,visit christmas staff continue tradition provide excellent offer beautiful work enhance ambiance right gate din areas customer care team go way make guests comfortable,great festivity atmosphere,4.0,2018-12-01,12,2018
Sarova Whitesands Beach Resort & Spa,hotel food good need relaxation go tulia disinterested therapists exorbitant look sea whilst give massage totally price better walk beach private salon call frangipani,tulia spa,4.0,2018-06-01,6,2018
Sarova Whitesands Beach Resort & Spa,excellent beach resort lot space facilities different food options good room sea face balcony new year amaze calm peaceful place good staff clean atmosphere,fantastic beach resort,5.0,2018-12-01,12,2018
Sarova Lion Hill Game Lodge,husband stay 3 nights room comfortable buffet consistently good bar service excellent unfortunately tree line block view lake quite bite pool service stay,nice stay safari,4.0,2018-05-01,5,2018
Sarova Lion Hill Game Lodge,throughly love place right heart nukuru national park kid enjoy time stay day regret pack days pics dont justice property place amaze pros warm welcome staff great choice food love ambiance chirp bird lovely view lake nakuru make stay memorable room clean tidy con guess popular resort sometimes crowd overbear say staff manage well overall kudos folks,best stay kenyan trip,5.0,2018-05-01,5,2018
Sarova Lion Hill Game Lodge,arrive check discover pool close maintenance ask hadnt mention time book staff rude apologetic blame office nairobi dont think realise work company ask would discount facilities full work order tell manager wasnt around appear 2 minutes later wasnt helpful decide stay dont waste time money stay lake nakuru lodge instead fabulous couldnt enough us,poor customer service,1.0,2018-05-01,5,2018
Sarova Lion Hill Game Lodge,really disappoint arrive tell soon car unpack son carry swim things eagerly lodge pool close close month due renovations great long term really disappoint noone inform us email ad ring several time process book tell consolation explain poor customer service lodge later day give us letter complimentary access nakuru lodge beautiful food good room basic expect massage excellent highly recommend wish could see park like could nakuru lodge feel like,poor work,3.0,2018-05-01,5,2018
Sarova Lion Hill Game Lodge,comfortable overnight stay room clean spacious relatively plain nice grind plenty common areas indoors outside relax meals acceptable buffet style check great desserts,comfortable,3.0,2017-09-01,9,2017
Sarova Mara Game Camp,arrive sarova masai mara camp drive sister lodge sarova lionhill game lodge lake nakura stay three nights one luxury tent boundary property time celebrate valentines day dinner poolside roses give lady present last night dinner star really special masai warriors dance jump performance really remarkable skill stamina group six participate dinner guide maina wonderful knowledge phenominal could see animals bird great distance informative matter relate masai mara us 0600 3 hour morning drive,wonderful stay,5.0,2018-02-01,2,2018
Sarova Mara Game Camp,fully tent resort locate inside maasai mara reserve great experience sleep tent listen wildlife noise lions roar night tent well equip possible facilities staff excellent attentive food excellent spread good variety drink available bar,wonderful experience,5.0,2018-02-01,2,2018
Sarova Mara Game Camp,stay two nights end safari stay club tent adjacent lodge boundary fence truly outstanding food good wide selection wine accompany meal reasonably price good quality lodge use inhouse laundry service special offer reasonably price give us day service experience normal sarova lodge excellent service staff always greet smile lodge situate inside reserve game drive start immediately leave lodge gate pride lions decide rest 200 metres gate amaze last night awake lions roar remind us territory,save best safari last,5.0,2018-02-01,2,2018
Sarova Mara Game Camp,moment pick ken kisio airstrip know place would forever heart drive back camp ken give lot detail mara point sit interest drive back camp saw animals along way 2030 minutes airstrip camp gorgeous set hill surround tree greenery pull camp imagine tent cool permanent roof bathrooms staff beyond friendly sincere lot areas sit relax want tent food delicious serve stylish din room also outdoor seat area nice breeze blow take drive,love place,5.0,2018-02-01,2,2018
Sarova Mara Game Camp,2nd visit mara good service excellent food staff friendly love tent recommendation hire vehicle game drive camp camp drivers know action happen overall love place definite thumb,mara best,5.0,2018-02-01,2,2018
Sarova Panafric,staff extremely friendly room look better picture person clean well appoint everything could want note pool refurbish work time become noisy stay sarova panafric begin end trip 2 different room 2 different locations never could get airconditioning temperature comfortable either stay second stay maintenance person come room make sure system work apparently cannot cool room service din room little slow inconsistent traveler like rare meat encounter kenya,ok touristbusiness class hotel,3.0,2018-10-01,10,2018
Sarova Panafric,like sarova hotel much particulary miss millicent kind friendly also food flame tree restaurant service staff also nicei look foward visit hotel soon,pac 2018,5.0,2018-10-01,10,2018
Sarova Panafric,leonard jam make us feel right home concern every need food great hotel wellmaintained downside pool refurbish know great offer take us one properties pool even concern comfort,great place stay,5.0,2018-10-01,10,2018
Sarova Panafric,visit friends business lunch sunday enjoy swahili indian variety buffet lunch sumptuous one team members need laptop charger since ict office close teresia guest relations go way get us one absolutely highly commendable hospitality service make day thank vincent restaurant go way sunday ensure comfortable definitely back great central yet quiet location business meet excellent ambience,business lunch,5.0,2018-10-01,10,2018
Sarova Panafric,last week stay pan afric incredible experience every single member staff helpful incredibly polite professional friendly days staff welcome us name make sure remember preferences everything make us feel special mean staff mean everyone cleaners concierge bartenders african hospitality best 1010 highly helpful even leave charger room checkout also great business conference super helpful staff good brand grear buffet business lunch tasty tea break,welcome friendly atmosphere stun well keep hotel,5.0,2018-10-01,10,2018
Sarova Whitesands Beach Resort & Spa,great experience whitesands staff meet accommodate possible could best great place family first visit kenyan visit mombasa often would however wish suggest areas help consider 1 food health conscious debate wellness trend everyones live ever vegan vegetarian offer woulf help note snack time vegetarian hardly offer may include 2 would suggest hotel consider jet ski order tell spoil one work hence make arrangements,great place,5.0,2019-01-01,1,2019
Sarova Whitesands Beach Resort & Spa,husband daughter stay whitesands december 2018 checkin delay three hours hotel upgrade us way apology without us ask suite fantastic entire stay amaze events kid tree light cocktails bite lot pool choose fun beach bar staff bar none friendly polite helpful duties serve us fantastic experience return easter year thank whitesands hospitality,fantastic child friendly hotel attentive staff excellent customer service,5.0,2018-12-01,12,2018
Sarova Whitesands Beach Resort & Spa,visit whitesands past decade still enjoy feel come home soon enter lobby staff see children grow warm ever yes familar face move properties hotel retain charm arrive day festive season promotions glad tell hotel full brim even exorbitant rat room super clean interconnect ones perfect families pavillions buffet something everyone find even eat pasta generally loathe frequent visitor give children old traditional kid club would recommend make teens club permanent,best quality families mombasa,4.0,2019-01-01,1,2019
Sarova Whitesands Beach Resort & Spa,fantastic time whitesands sarova 6 nights bliss family especially kid ball beach pool holiday package awesome food inclusive slogan eat stall everywhere activities galore best new years gala yet drink extra good deal cocktails alcoholic nonalcoholic affordable downside keep get additional charge room even though didnt sign bill room seem real problem bill waiters encourage charge bill room realise would find additional items charge head pay bill promptly check room,wonderful family holiday,4.0,2018-12-01,12,2018
Sarova Whitesands Beach Resort & Spa,book hotel base review disappointment unbelievable book room overlook oceanfor much higher rate get room face massive din absolutely view go back forth front desk change different room close pay room however enough towel mosquitos buzz everywhere decide cut trip short check follow day access beach suppose private locals access beach bar public beach areas make security fascade check different story go bill realize double bill 22000ksh220usd correct 3 time,terrible experience,1.0,2018-12-01,12,2018
Sarova Lion Hill Game Lodge,awesome welcome edwin set us great couple days tulia massage best experience kenya also relax scenery lake food great could easily spend days,excellent customer service,5.0,2018-05-01,5,2018
Sarova Lion Hill Game Lodge,hotel amaze situation lovely view bar terrace staff extremely attentive friendly pretty empty go didnt many buffet food fantastic nights traditional dance fun room fine although perhaps little tire look comfortable clean view staff however real star hotel would recommend visit lake nakuru,lovely staff grind,4.0,2018-05-01,5,2018
Sarova Lion Hill Game Lodge,stay relative wife keen hotel settings amd desidents always keen middle tourists really pleasantly surprise improvements make last years blow us away extremely comfortable room bathrooms extremely good selection quality buffet food staff attentive nice grind tree label thank,unexpectedly super improvement,4.0,2018-04-01,4,2018
Sarova Lion Hill Game Lodge,resort mainly appear cater tourists transit masai mara mt kenya choose spend two nights transit make day trip lake bogoria accommodation acceptable although furniture fittings seem age functional glad find multipurpose plug point room plug devices charge hot water bag tuck inside bed mosquito net draw turn service end bug room bother us much mr peter restaurant friendly vegetarian limit food options go arrange whatever desire attitude delightful even though items probably part procedure,pleasant experience,4.0,2018-05-01,5,2018
Sarova Lion Hill Game Lodge,amaze blissful quite simply breathtaking service friendly full joy always helpful hotel indeed perfectly locate lion hill majestic view wildlife greenery lake,perfect gateaway,5.0,2018-05-01,5,2018
Sarova Panafric,spend two weeks wonderful hotel nairobi staff fantastic ith eye detail refresh say least good mornings flame tree good byes front door older property well keep service little shout leonard concierge desk asante sana terrific id happy come back hotel,professional oasis nairobi,5.0,2018-09-01,9,2018
Sarova Panafric,last month work purpose stay 3 weeks come drcongo warm welcome excellent service room clean food sweet live band lovely staff friendly care big mary wanjiku best surely come jai beaucoup aimé lendroit,wow service,5.0,2018-09-01,9,2018
Sarova Panafric,really good place stay room clean staff nice good internet connection food good hotel locate middle city rwalky recommend place stay fir work vacation,good place,5.0,2018-10-01,10,2018
Sarova Panafric,stay sarova panafric two weeks travel 25 countries 15 continent without doubt say best hotel stay every one greatest challenge frequent travel feel home friendliness professionalism quality staff make sarova truly feel like home away home reach front desk staff include aqueliner joseph welcome ways set tone rest stay front desk sarova shop staff impeccable friendly knowledgeable know right away go great stay also cannot say enough restaurant staff warmest accept,best hotel experience ive,5.0,2018-09-01,9,2018
Sarova Panafric,spend two weeks hotel time nairobi find pleasant stay rat pretty reasonable include impressive delicious breakfast buffet staff incredibly kind go way helpful spa treatment bite let massage price cant complain much one feature highlight hotel great wifi reliable high speed kenyan hotel room clean great housekeep service tidy room spray mosquitoes daily air condition maintain room comfortable temperature day location wonderful easy get uber anywhere city security safety hotel great,great hotel nairobi,5.0,2018-09-01,9,2018
Sarova Stanley,1 check request room w street view like noise give one back face another build two colleagues line behind get street view lol 2 colleagues book room time get breakfast buffet package even though detailscost seem identical subsequently charge 25 breakfast every morning bring manager steve offer breakfast 20 cool 3 morning departure ask late checkout quote large cost right ask colleague stand line behind give later checkout ask additional payment,hear word lot,2.0,2018-05-01,5,2018
Sarova Stanley,hotel arrange efficient collection airport justice friendly well educate nairobi history sarova stanley checkin swift thorough explanation hotels facilities provide luggage usher room friendly concierge team would recommend book historical tour hotel yasmine extremely informative make tour fun accommodation comfortable recommend book room give access newly open club lounge definitely best city food beverage excellent standard thank make stay welcome memorable,business trip nairobi,5.0,2018-05-01,5,2018
Sarova Stanley,enjoy stay professional staff room clean food good fortunate choose hotel especial mention yasmine customer service good professional go back hotel,great staff good location,5.0,2018-05-01,5,2018
Sarova Stanley,love hotel friendly staff history tour roof top pool breakfast buffet top notch also think shower might best life love hotel felt right home,historical hotel,5.0,2018-05-01,5,2018
Sarova Stanley,couldnt make better choice hotel staff fantastic customer service second none room clean great condition food choices excellent much variety boyfriend wonderful time cant wait go back special mention caroline yasmin lucy jedida especially wonderful along security staff simply exceptional every way,superb hotel,5.0,2018-04-01,4,2018
Sarova Whitesands Beach Resort & Spa,happy experience today whitesands great telephone conversation thomas necessary information lovely welcome gate security entrance amenities well set plenty staff hand food station well set pool also love convenience fridge water yoghurts lounge furniture upgrade towel business must pay towel daniel pool lovely kid club staff thumb whitesands,super efficiency,5.0,2019-01-01,1,2019
Sarova Whitesands Beach Resort & Spa,hotel best visit ever manegment staff facility security top clean everywhere even music 6 time week dinner food excellent fresh good,nurse,5.0,2018-11-01,11,2018
Sarova Whitesands Beach Resort & Spa,really nice experience food delicious wonderful servicestaffs welcome big chefyou guy awesome keep good spirit deserve another starmy regard old taita service guy entertain make drink morethanks,dinner,5.0,2018-12-01,12,2018
